Sample	Research_group	Research_group_ID	Stem_cell_name	Stem_cell_type	Tissue_origin	Passage_term	Culture_medium_composition
AMMSC_rep2	GSE118808	19	AMMSC	MSC	Amniotic_membrane	Middle	Xeno_free
AMMSC_rep3	GSE118808	19	AMMSC	MSC	Amniotic_membrane	Middle	Xeno_free
AMMSC_rep4	GSE118808	19	AMMSC	MSC	Amniotic_membrane	Middle	Xeno_free
AMMSC_rep5	GSE118808	19	AMMSC	MSC	Amniotic_membrane	Middle	Xeno_free
CPMSC_rep1	GSE131355	18	CPMSC	MSC	Chorionic_plate_of_placenta	Middle	Xeno_free
CPMSC_rep2	GSE131355	18	CPMSC	MSC	Chorionic_plate_of_placenta	Middle	Xeno_free
CPMSC_rep3	GSE118808	18	CPMSC	MSC	Chorionic_plate_of_placenta	Middle	Xeno_free
CPMSC_rep4	GSE118808	18	CPMSC	MSC	Chorionic_plate_of_placenta	Middle	Xeno_free
CPMSC_rep5	GSE118808	18	CPMSC	MSC	Chorionic_plate_of_placenta	Middle	Xeno_free
UCHSC_rep1	GSE107149	20	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_free
UCHSC_rep2	GSE107149	20	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_free
UCHSC_rep3	GSE107149	20	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_free
UCHSC_rep4	GSE107149	20	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine free
UCHSC_rep5	GSE109093	21	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep6	GSE109093	21	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep7	GSE109093	21	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep8	GSE110968	22	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep9	GSE110968	22	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep10	GSE110968	22	UCHSC	HSC	Umbilical_cord	Unknown	L_glutamine_contained
UCHSC_rep11	GSE69932	23	UCHSC	HSC	Umbilical_cord	Unknown	Unknown
UCHSC_rep12	GSE69932	23	UCHSC	HSC	Umbilical_cord	Unknown	Unknown
BMHSC_rep1	GSE109093	21	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep2	GSE109093	21	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep3	GSE109093	21	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep4	GSE63569	23	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep5	GSE63569	23	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep6	GSE63569	24	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep7	GSE63569	24	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
BMHSC_rep8	GSE63569	24	BMHSC	HSC	Bone_marrow	Unknown	L_glutamine_contained
FLHSC_rep1	GSE109093	21	FLHSC	HSC	Fetal_liver	Unknown	L_glutamine_contained
FLHSC_rep2	GSE109093	21	FLHSC	HSC	Fetal_liver 	Unknown	L_glutamine_contained
FLHSC_rep3	GSE109093	21	FLHSC	HSC	Fetal_liver 	Unknown	L_glutamine_contained
